sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0167,3.9833,-0.0167,0.0,1.0,0
1,0.0167,0.0,0.0166,3.9667,-0.0166,0.004363,0.99999,0
2,0.0333,0.0,0.0146,3.9521,-0.0146,0.008727,0.999962,0
3,0.05,0.0,0.0161,3.936,-0.0161,0.01309,0.999914,0
4,0.0667,0.0,0.0162,3.9198,-0.0162,0.017452,0.999848,0
5,0.0833,0.0,0.0144,3.9054,-0.0144,0.021815,0.999762,0
6,0.1,0.0,0.0137,3.8917,-0.0137,0.026177,0.999657,0
7,0.1167,0.0,0.0114,3.8803,-0.0114,0.030539,0.999534,0
8,0.1333,0.0,0.0139,3.8664,-0.0139,0.034899,0.999391,0
9,0.15,0.0,0.0126,3.8538,-0.0126,0.03926,0.999229,0
10,0.1667,0.0,0.016,3.8378,-0.016,0.043619,0.999048,0
11,0.1833,0.0,0.0188,3.819,-0.0188,0.047978,0.998848,0
12,0.2,0.0,0.0164,3.8026,-0.0164,0.052336,0.99863,0
13,0.2167,0.0,0.0182,3.7844,-0.0182,0.056693,0.998392,0
14,0.2333,0.0,0.0166,3.7678,-0.0166,0.061049,0.998135,0
15,0.25,0.0,0.0164,3.7514,-0.0164,0.065403,0.997859,0
16,0.2667,0.0,0.0144,3.737,-0.0144,0.069756,0.997564,0
17,0.2833,0.0,0.0136,3.7234,-0.0136,0.074108,0.99725,0
18,0.3,0.0,0.017,3.7064,-0.017,0.078459,0.996917,0
19,0.3167,0.0,0.0119,3.6945,-0.0119,0.082808,0.996566,0
20,0.3333,0.0,0.0179,3.6766,-0.0179,0.087156,0.996195,0
21,0.35,0.0,0.0121,3.6645,-0.0121,0.091502,0.995805,0
22,0.3667,0.0,0.0161,3.6484,-0.0161,0.095846,0.995396,0
23,0.3833,0.0,0.0139,3.6345,-0.0139,0.100188,0.994969,0
24,0.4,0.0,0.0152,3.6193,-0.0152,0.104528,0.994522,0
25,0.4167,0.0,0.0198,3.5995,-0.0198,0.108867,0.994056,0
26,0.4333,0.0,0.0137,3.5858,-0.0137,0.113203,0.993572,0
27,0.45,0.0,0.0141,3.5717,-0.0141,0.117537,0.993068,0
28,0.4667,0.0,0.0148,3.5569,-0.0148,0.121869,0.992546,0
29,0.4833,0.0,0.0164,3.5405,-0.0164,0.126199,0.992005,0
30,0.5,0.0,0.0146,3.5259,-0.0146,0.130526,0.991445,0
31,0.5167,0.0,0.0171,3.5088,-0.0171,0.134851,0.990866,0
32,0.5333,0.0,0.0153,3.4935,-0.0153,0.139173,0.990268,0
33,0.55,0.0,0.0184,3.4751,-0.0184,0.143493,0.989651,0
34,0.5667,0.0,0.0138,3.4613,-0.0138,0.147809,0.989016,0
35,0.5833,0.0,0.0165,3.4448,-0.0165,0.152123,0.988362,0
36,0.6,0.0,0.0146,3.4302,-0.0146,0.156434,0.987688,0
37,0.6167,0.0,0.0164,3.4138,-0.0164,0.160743,0.986996,0
38,0.6333,0.0,0.0174,3.3964,-0.0174,0.165048,0.986286,0
39,0.65,0.0,0.0138,3.3826,-0.0138,0.16935,0.985556,0
40,0.6667,0.0,0.0165,3.3661,-0.0165,0.173648,0.984808,0
41,0.6833,0.0,0.0167,3.3494,-0.0167,0.177944,0.984041,0
42,0.7,0.0,0.019,3.3304,-0.019,0.182236,0.983255,0
43,0.7167,0.0,0.0157,3.3147,-0.0157,0.186524,0.98245,0
44,0.7333,0.0,0.0166,3.2981,-0.0166,0.190809,0.981627,0
45,0.75,0.0,0.0156,3.2825,-0.0156,0.19509,0.980785,0
46,0.7667,0.0,0.016,3.2665,-0.016,0.199368,0.979925,0
47,0.7833,0.0,0.0172,3.2493,-0.0172,0.203642,0.979045,0
48,0.8,0.0,0.0189,3.2304,-0.0189,0.207912,0.978148,0
49,0.8167,0.0,0.018,3.2124,-0.018,0.212178,0.977231,0
50,0.8333,0.0,0.0152,3.1972,-0.0152,0.21644,0.976296,0
51,0.85,0.0,0.015,3.1822,-0.015,0.220697,0.975342,0
52,0.8667,0.0,0.0101,3.1721,-0.0101,0.224951,0.97437,0
53,0.8833,0.0,0.0139,3.1582,-0.0139,0.2292,0.973379,0
54,0.9,0.0,0.0116,3.1466,-0.0116,0.233445,0.97237,0
55,0.9167,0.0,0.0152,3.1314,-0.0152,0.237686,0.971342,0
56,0.9333,0.0,0.0163,3.1151,-0.0163,0.241922,0.970296,0
57,0.95,0.0,0.0169,3.0982,-0.0169,0.246153,0.969231,0
58,0.9667,0.0,0.0166,3.0816,-0.0166,0.25038,0.968148,0
59,0.9833,0.0,0.0188,3.0628,-0.0188,0.254602,0.967046,0
60,1.0,0.0,0.0153,3.0475,-0.0153,0.258819,0.965926,0
61,1.0167,0.0,0.0143,3.0332,-0.0143,0.263031,0.964787,0
62,1.0333,0.0,0.0138,3.0194,-0.0138,0.267238,0.96363,0
63,1.05,0.0,0.016,3.0034,-0.016,0.27144,0.962455,0
64,1.0667,0.0,0.019,2.9844,-0.019,0.275637,0.961262,0
65,1.0833,0.0,0.0152,2.9692,-0.0152,0.279829,0.96005,0
66,1.1,0.0,0.017,2.9522,-0.017,0.284015,0.95882,0
67,1.1167,0.0,0.0157,2.9365,-0.0157,0.288196,0.957571,0
68,1.1333,0.0,0.0165,2.92,-0.0165,0.292372,0.956305,0
69,1.15,0.0,0.0168,2.9032,-0.0168,0.296542,0.95502,0
70,1.1667,0.0,0.0154,2.8878,-0.0154,0.300706,0.953717,0
71,1.1833,0.0,0.0139,2.8739,-0.0139,0.304864,0.952396,0
72,1.2,0.0,0.0122,2.8617,-0.0122,0.309017,0.951057,0
73,1.2167,0.0,0.0149,2.8468,-0.0149,0.313164,0.949699,0
74,1.2333,0.0,0.0112,2.8356,-0.0112,0.317305,0.948324,0
75,1.25,0.0,0.0161,2.8195,-0.0161,0.321439,0.94693,0
76,1.2667,0.0,0.0142,2.8053,-0.0142,0.325568,0.945519,0
77,1.2833,0.0,0.0143,2.791,-0.0143,0.329691,0.944089,0
78,1.3,0.0,0.0159,2.7751,-0.0159,0.333807,0.942641,0
79,1.3167,0.0,0.0155,2.7596,-0.0155,0.337917,0.941176,0
80,1.3333,0.0,0.0176,2.742,-0.0176,0.34202,0.939693,0
81,1.35,0.0,0.0186,2.7234,-0.0186,0.346117,0.938191,0
82,1.3667,0.0,0.016,2.7074,-0.016,0.350207,0.936672,0
83,1.3833,0.0,0.0163,2.6911,-0.0163,0.354291,0.935135,0
84,1.4,0.0,0.0171,2.674,-0.0171,0.358368,0.93358,0
85,1.4167,0.0,0.0179,2.6561,-0.0179,0.362438,0.932008,0
86,1.4333,0.0,0.015,2.6411,-0.015,0.366501,0.930418,0
87,1.45,0.0,0.0142,2.6269,-0.0142,0.370557,0.92881,0
88,1.4667,0.0,0.0194,2.6075,-0.0194,0.374607,0.927184,0
89,1.4833,0.0,0.015,2.5925,-0.015,0.378649,0.925541,0
90,1.5,0.0,0.0137,2.5788,-0.0137,0.382683,0.92388,0
91,1.5167,0.0,0.0142,2.5646,-0.0142,0.386711,0.922201,0
92,1.5333,0.0,0.0141,2.5505,-0.0141,0.390731,0.920505,0
93,1.55,0.0,0.0155,2.535,-0.0155,0.394744,0.918791,0
94,1.5667,0.0,0.0155,2.5195,-0.0155,0.398749,0.91706,0
95,1.5833,0.0,0.0162,2.5033,-0.0162,0.402747,0.915311,0
96,1.6,0.0,0.019,2.4843,-0.019,0.406737,0.913545,0
97,1.6167,0.0,0.0146,2.4697,-0.0146,0.410719,0.911762,0
98,1.6333,0.0,0.0132,2.4565,-0.0132,0.414693,0.909961,0
99,1.65,0.0,0.0154,2.4411,-0.0154,0.41866,0.908143,0
100,1.6667,0.0,0.0156,2.4255,-0.0156,0.422618,0.906308,0
101,1.6833,0.0,0.0149,2.4106,-0.0149,0.426569,0.904455,0
102,1.7,0.0,0.0152,2.3954,-0.0152,0.430511,0.902585,0
103,1.7167,0.0,0.0143,2.3811,-0.0143,0.434445,0.900698,0
104,1.7333,0.0,0.0181,2.363,-0.0181,0.438371,0.898794,0
105,1.75,0.0,0.0135,2.3495,-0.0135,0.442289,0.896873,0
106,1.7667,0.0,0.0163,2.3332,-0.0163,0.446198,0.894934,0
107,1.7833,0.0,0.0145,2.3187,-0.0145,0.450098,0.892979,0
108,1.8,0.0,0.0195,2.2992,-0.0195,0.45399,0.891007,0
109,1.8167,0.0,0.0174,2.2818,-0.0174,0.457874,0.889017,0
110,1.8333,0.0,0.0152,2.2666,-0.0152,0.461749,0.887011,0
111,1.85,0.0,0.017,2.2496,-0.017,0.465615,0.884988,0
112,1.8667,0.0,0.0161,2.2335,-0.0161,0.469472,0.882948,0
113,1.8833,0.0,0.012,2.2215,-0.012,0.47332,0.880891,0
114,1.9,0.0,0.0167,2.2048,-0.0167,0.477159,0.878817,0
115,1.9167,0.0,0.0144,2.1904,-0.0144,0.480989,0.876727,0
116,1.9333,0.0,0.0158,2.1746,-0.0158,0.48481,0.87462,0
117,1.95,0.0,0.0155,2.1591,-0.0155,0.488621,0.872496,0
118,1.9667,0.0,0.0179,2.1412,-0.0179,0.492424,0.870356,0
119,1.9833,0.0,0.0166,2.1246,-0.0166,0.496217,0.868199,0
120,2.0,0.0,0.0151,2.1095,-0.0151,0.5,0.866025,0
121,2.0167,0.0,0.0197,2.0898,-0.0197,0.503774,0.863836,0
122,2.0333,0.0,0.0172,2.0726,-0.0172,0.507538,0.861629,0
123,2.05,0.0,0.0152,2.0574,-0.0152,0.511293,0.859406,0
124,2.0667,0.0,0.0145,2.0429,-0.0145,0.515038,0.857167,0
125,2.0833,0.0,0.0186,2.0243,-0.0186,0.518773,0.854912,0
126,2.1,0.0,0.0158,2.0085,-0.0158,0.522499,0.85264,0
127,2.1167,0.0,0.0123,1.9962,-0.0123,0.526214,0.850352,0
128,2.1333,0.0,0.0199,1.9763,-0.0199,0.529919,0.848048,0
