sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0178,2.9822,-0.0178,0.0,1.0,0
1,0.0167,0.0,0.0202,2.962,-0.0202,0.004363,0.99999,0
2,0.0333,0.0,0.0152,2.9468,-0.0152,0.008727,0.999962,0
3,0.05,0.0,0.0142,2.9326,-0.0142,0.01309,0.999914,0
4,0.0667,0.0,0.0166,2.916,-0.0166,0.017452,0.999848,0
5,0.0833,0.0,0.0178,2.8982,-0.0178,0.021815,0.999762,0
6,0.1,0.0,0.0163,2.8819,-0.0163,0.026177,0.999657,0
7,0.1167,0.0,0.0158,2.8661,-0.0158,0.030539,0.999534,0
8,0.1333,0.0,0.0173,2.8488,-0.0173,0.034899,0.999391,0
9,0.15,0.0,0.0173,2.8315,-0.0173,0.03926,0.999229,0
10,0.1667,0.0,0.0181,2.8134,-0.0181,0.043619,0.999048,0
11,0.1833,0.0,0.0193,2.7941,-0.0193,0.047978,0.998848,0
12,0.2,0.0,0.0168,2.7773,-0.0168,0.052336,0.99863,0
13,0.2167,0.0,0.0179,2.7594,-0.0179,0.056693,0.998392,0
14,0.2333,0.0,0.0186,2.7408,-0.0186,0.061049,0.998135,0
15,0.25,0.0,0.0175,2.7233,-0.0175,0.065403,0.997859,0
16,0.2667,0.0,0.0179,2.7054,-0.0179,0.069756,0.997564,0
17,0.2833,0.0,0.017,2.6884,-0.017,0.074108,0.99725,0
18,0.3,0.0,0.0173,2.6711,-0.0173,0.078459,0.996917,0
19,0.3167,0.0,0.0143,2.6568,-0.0143,0.082808,0.996566,0
20,0.3333,0.0,0.0179,2.6389,-0.0179,0.087156,0.996195,0
21,0.35,0.0,0.0162,2.6227,-0.0162,0.091502,0.995805,0
22,0.3667,0.0,0.0129,2.6098,-0.0129,0.095846,0.995396,0
23,0.3833,0.0,0.0179,2.5919,-0.0179,0.100188,0.994969,0
24,0.4,0.0,0.0183,2.5736,-0.0183,0.104528,0.994522,0
25,0.4167,0.0,0.0174,2.5562,-0.0174,0.108867,0.994056,0
26,0.4333,0.0,0.016,2.5402,-0.016,0.113203,0.993572,0
27,0.45,0.0,0.0184,2.5218,-0.0184,0.117537,0.993068,0
28,0.4667,0.0,0.0205,2.5013,-0.0205,0.121869,0.992546,0
29,0.4833,0.0,0.0156,2.4857,-0.0156,0.126199,0.992005,0
30,0.5,0.0,0.018,2.4677,-0.018,0.130526,0.991445,0
31,0.5167,0.0,0.0182,2.4495,-0.0182,0.134851,0.990866,0
32,0.5333,0.0,0.0148,2.4347,-0.0148,0.139173,0.990268,0
33,0.55,0.0,0.0164,2.4183,-0.0164,0.143493,0.989651,0
34,0.5667,0.0,0.0217,2.3966,-0.0217,0.147809,0.989016,0
35,0.5833,0.0,0.0155,2.3811,-0.0155,0.152123,0.988362,0
36,0.6,0.0,0.0185,2.3626,-0.0185,0.156434,0.987688,0
37,0.6167,0.0,0.0148,2.3478,-0.0148,0.160743,0.986996,0
38,0.6333,0.0,0.0208,2.327,-0.0208,0.165048,0.986286,0
39,0.65,0.0,0.0171,2.3099,-0.0171,0.16935,0.985556,0
40,0.6667,0.0,0.0186,2.2913,-0.0186,0.173648,0.984808,0
